car_model,price,year_model,kms,color,fueltype
Chevrolet Spark Gt 2014,$30.000.000,2014,100.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300,$28.500.000,2011,59.000,Plateado,Gasolina
Chevrolet Spark Gt 2014 Full Equipo,$30.000.000,2014,84.000,Blanco,Gasolina
Chevrolet Spark 1.0 Go,$17.500.000,2012,195.000,Azul,Gasolina
Chevrolet Spark 1.0 Lt M200,$19.800.000,2011,172.000,Azul,Gasolina
Chevrolet Spark Ltz 2016,$33.000.000,2016,97.700,Blanco,Gasolina
Spark 2012,$19.500.000,2012,184.487,Gris,Gasolina y gas
Chevrolet Spark 1.0 Life,$24.500.000,2015,57.984,Rojo,Gasolina
Chevrolet Spark 1.2 Gt M300,$27.000.000,2012,128.500,Gris,Gasolina
Chevrolet Spark Ltz  2017  17.000 Km,$32.000.000,2017,71.000,Blanco,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$22.500.000,2012,114.847,Rojo,Gasolina
Chevrolet Spark 1.2 Gt M300,$26.000.000,2011,145.000,Plateado,Gasolina
Chevrolet Spark GT 1.2 RS,$36.000.000,2018,70.000,Blanco,Gasolina y gas
Chevrolet Spark Gt 2015,$32.000.000,2015,74.000,Blanco,Gasolina
Chevrolet Spark 1.0 Life,$29.000.000,2018,122.500,Gris,Gasolina
Chevrolet Spark 1.0 Lt M200,$26.000.000,2012,116.000,Negro,Gasolina
Chevrolet Spark 1.2 Gt M300,$27.500.000,2011,63.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$37.000.000,2017,67.500,Gris,Gasolina
Chevrolet Spark 1.0 Lt M200,$21.500.000,2009,85.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt Ltz,$38.500.000,2019,83.400,Gris,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$24.500.000,2011,85.000,Rojo,Gasolina
Chevrolet Spark 1.0 7:24,$18.000.000,2005,445.000,Amarillo,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$28.500.000,2014,107.900,Negro,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$30.500.000,2015,95.000,Blanco,Gasolina
Chevrolet Spark Gt Full / Todo Al Dia,$36.400.000,2016,83.000,Color not found,Gasolina
Chevrolet Spark 1.0 Life,$26.000.000,2015,72.488,Color not found,Gasolina
Chevrolet Spark Gt Spark Gt,$30.000.000,2015,102.000,Color not found,Gasolina
Chevrolet Spark Gt Spark Gt,$25.000.000,2013,165.000,Color not found,Gasolina
Chevrolet Spark Gt Gt,$28.000.000,2013,88.000,Color not found,Gasolina
Chevrolet Spark Gt Ltz Full,$32.000.000,2017,70.000,Color not found,Gasolina
Chevrolet Spark Gt Gt,$30.000.000,2014,74.000,Color not found,Gasolina
Chevrolet Spark GT 1.2 Lt,$34.990.000,2018,69.000,Color not found,Gasolina
Chevrolet Spark 1.0 Life,$22.000.000,2015,168.000,Color not found,Gasolina
Chevrolet Spark GT 1.2 Lt,$35.000.000,2018,26.390,Plateado,Gasolina
Chevrolet Spark 1.2 Gt M300,$29.000.000,2013,113,Blanco,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$30.800.000,2014,98.000,Blanco,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$18.500.000,2010,109.000,Plateado,Gasolina
Chevrolet Spark Gt Versión Full,$29.000.000,2013,120.900,Gris,Gasolina
Chevrolet Spark,$30.000.000,2015,142.153,Blanco,Gasolina
Chevrolet Spark 1.0 Life,$28.900.000,2018,25.121,Rojo,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$22.000.000,2008,75.000,Rojo,Gasolina
Chevrolet Spark 1.0 Life,$27.800.000,2017,30.500,Rojo,Gasolina
Chevrolet Spark Modelo 2012,$19.500.000,2012,146.000,Gris,Gasolina
Chevrolet Spark Gt 2016,$39.813.000,2016,145.000,Azul,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$32.500.000,2016,110.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300,$29.500.000,2014,111.482,Plateado,Gasolina
Chevrolet Spark 1.0 Go,$19.500.000,2013,187.000,Negro,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$20.000.000,2012,145.400,Negro,Gasolina
Chevrolet Spark 1.0 Lt M200,$22.500.000,2014,149.000,Rojo,Gasolina
Chevrolet Spark 1.0 Life,$27.000.000,2019,66.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt Ls,$37.500.000,2018,130.000,Gris,Gasolina
Chevrolet Spark 1.0 Life,$25.000.000,2017,71.000,Plateado,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$39.000.000,2017,48.680,Gris,Gasolina
Chevrolet Spark Gt,$27.500.000,2012,125.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$32.000.000,2015,100.450,Blanco,Gasolina
Chevrolet Spark 1.2 Gt Ls,$35.000.000,2018,98.000,Blanco,Gasolina
Chevrolet Spark GT 1.2 Ltz,$39.500.000,2020,104.000,Color not found,Gasolina
Chevrolet Spark 1.0 Life,$25.500.000,2019,73.000,Color not found,Gasolina
Chevrolet Spark Gt Full Equipo,$29.000.000,2013,165.000,Negro,Gasolina
Chevrolet Spark GT 1.2 Ls,$37.000.000,2018,69.900,Color not found,Gasolina
Chevrolet Spark 1.0 Life,$23.000.000,2016,123.000,Color not found,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$17.000.000,2008,143.000,Negro,Gasolina
Chevrolet Spark Sedan,$19.000.000,2008,163.000,Color not found,Gasolina
Chevrolet Spark GT 1.2 Ls,$35.500.000,2020,66.000,Color not found,Gasolina
Chevrolet Spark GT 1.2 Ls,$40.000.000,2020,47.000,Color not found,Gasolina
Chevrolet Spark 1.0 Lt M200,$14.000.000,2007,128.000,Color not found,Gasolina
Chevrolet Spark 1.0 Life,$20.000.000,2015,240.000,Color not found,Gasolina
Chevrolet Spark Gt Full,$29.900.000,2014,101.000,Gris,Gasolina
Chevrolet Spark 1.0 Lt M200,$18.500.000,2014,115.000,Gris,Gasolina
Chevrolet Spark 1.0 Go,$21.500.000,2013,156.000,Color not found,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$19.200.000,2009,104.000,Color not found,Gasolina
Chevrolet Spark Gt,$28.000.000,2013,99.000,Negro,Gasolina
Chevrolet Spark Gt Ful Version,$27.500.000,2013,129.000,Color not found,Gasolina
Chevrolet Spark 1.2 Gtx M300,$27.500.000,2012,120.391,Gris,Gasolina
Spark Gt Ltz 2017,$33.600.000,2017,96.000,Plateado,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$23.000.000,2013,120.000,Plateado,Gasolina
Chevrolet Spark,$17.000.000,2007,180.500,Gris,Gasolina
Chevrolet Spark 1.0 Lt M200,$22.000.000,2011,79.000,Azul,Gasolina
Chevrolet Spark 1.0 Go Next,$20.000.000,2009,140.000,Negro,Gasolina
Chevrolet Spark 1.2 Gt M300,$23.000.000,2013,146.000,Gris,Gasolina
Chevrolet Spark 1.0,$23.000.000,2013,154.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$29.000.000,2014,106.000,Rojo,Gasolina
Chevrolet Spark 1.2 Gt M300,$25.000.000,2014,320.000,Gris,Gasolina
Chevrolet Spark 1.0 Life,$28.800.000,2019,92.000,Gris,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$16.800.000,2010,168.000,Negro,Gasolina
Chevrolet Spark Gt,$26.900.000,2012,147.000,Plateado,Gasolina
Chevrolet Spark Gt,$28.500.000,2012,96.000,Gris,Gasolina
Chevrolet Spark 1.0 Go,$21.500.000,2008,55.000,Gris,Gasolina
Chevrolet Spark Cronos,$22.000.000,2011,158.000,Gris,Gasolina
Chevrolet 2010,$17.000.000,2010,130.000,Gris,Gasolina
Chevrolet Spark 1.0 Life,$25.000.000,2019,180.000,Negro,Gasolina
Chevrolet Spark 1.0 Lt M200,$23.000.000,2014,61.500,Gris,Gasolina
Venta Chevrolet Papeles Al Día,$30.054.900,2016,110.000,Plateado,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$33.500.000,2016,51.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$27.000.000,2015,308.000,Rojo,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$33.000.000,2015,131.508,Blanco,Gasolina
Chevrolet Spark 1.0 Life,$25.000.000,2015,85.000,Color not found,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$18.900.000,2012,134.300,Color not found,Gasolina
Chevrolet Spark 1.0 Life,$28.500.000,2019,76.700,Color not found,Gasolina
Chevrolet Spark 1.2 Gt Lt,$40.000.000,2019,119.000,Gris,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$21.000.000,2009,76.899,Color not found,Gasolina
Chevrolet Spark Gt Full Equipo,$39.800.000,2018,56.625,Color not found,Gasolina
Chevrolet Spark 1.0 Go,$16.000.000,2009,202.000,Negro,Gasolina
Chevrolet Spark 1.0 Lt M200,$22.500.000,2012,80.000,Gris,Gasolina
Chevrolet Spark Gt Ltz,$27.000.000,2013,117.000,Color not found,Gasolina
Chevrolet Spark Gt Automovil ,$33.500.000,2017,78.000,Color not found,Gasolina
Chevrolet Spark Gt Ltz,$34.000.000,2017,79.000,Color not found,Gasolina
Chevrolet Spark 1.0 Life,$25.500.000,2019,78.000,Negro,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$16.500.000,2009,140.000,Color not found,Gasolina
Chevrolet Spark Gt 1250,$27.000.000,2014,103.000,Color not found,Gasolina
Chevrolet Spark Gt,$28.500.000,2013,95.403,Verde,Gasolina
Chevrolet Spark 1.0 Lt M200,$17.000.000,2014,114.515,Gris,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$15.500.000,2009,168.056,Azul,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$17.500.000,2008,274.125,Negro,Gasolina
Chevrolet Spark 1.0 Go,$18.000.000,2008,114.000,Negro,Gasolina
Chevrolet Spark 1.0 Go,$20.000.000,2012,165.000,Blanco,Gasolina
Chevrolet Spark 1.2 Gt M300 Lt,$27.000.000,2014,119.000,Blanco,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$18.000.000,2010,162.000,Rojo,Gasolina
Chevrolet Spark 1.0 Lt M200,$18.900.000,2011,123.000,Gris,Gasolina
Chevrolet Spark 1.0 Go,$18.200.000,2008,91.000,Blanco,Gasolina
