car_model,price,year_model,kms,color,fueltype
Chevrolet Spark 1.2 Gt M300 Lt,$36.920.000,2017,66.131,Blanco,Gasolina
Chevrolet Spark 1.2 Gt Ltz,$37.900.000,2018,54.000,Azul,Gasolina
Chevrolet Spark 1.0 Life Lujo,$23.300.000,2016,86.038,Blanco,Gasolina
Chevrolet Spark GT 1.2 Active,$46.500.000,2022,49.000,Color not found,Gasolina
Chevrolet Spark 1.2 Gt Ls,$37.900.000,2019,58.800,Plateado,Gasolina
Chevrolet Spark 1.2 Gt Ltz,$37.900.000,2019,80.000,Plateado,Gasolina
Chevrolet Spark 1.2 Gt Lt,$41.900.000,2022,17.000,Gris,Gasolina
Chevrolet Spark Gt Spark Gt Ltz,$29.900.000,2015,90.000,Color not found,Gasolina
Chevrolet Spark 1.2 Gt Ltz,$35.500.000,2019,60.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$37.500.000,2018,60.900,Blanco,Gasolina
Chevrolet Spark 1.2 Gt M300,$27.900.000,2013,100.000,Plateado,Gasolina
Chevrolet Spark Gt 2017,$33.000.000,2017,54.000,Verde,Gasolina
Chevrolet Spark 1.2 Gt Ltz,$36.000.000,2018,60.000,Blanco,Gasolina
Chevrolet Spark 1.2 Gt M300,$27.900.000,2011,107.000,Rojo,Gasolina
Chevrolet Spark GT 1.2 Ltz,$35.900.000,2018,60.500,Plateado,Gasolina
Spark Gt Ltz,$26.900.000,2012,154.000,Gris,Gasolina
Chevrolet Spark GT 1.2,$32.500.000,2019,79.000,Plateado,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$32.900.000,2017,131.937,Plateado,Gasolina
Spark Gt Ltz 1.2,$31.900.000,2016,104.000,Gris,Gasolina
Chevrolet Spark GT 1.2 Ltz,$38.000.000,2019,87.200,Gris,Gasolina
Chevrolet Spark 1.0 Life,$29.900.000,2018,53.000,Plateado,Gasolina
Chevrolet Spark Gt Gt,$26.500.000,2012,139.000,Color not found,Gasolina
Chevrolet Spark 1.0 Lt M200,$21.000.000,2012,416.473,Plateado,Gasolina
Chevrolet Spark 1.2 Gt Ls,$34.000.000,2019,142.407,Rojo,Gasolina
Chevrolet Spark Gt Ltz 2016,$31.990.000,2016,90.000,Blanco,Gasolina
Chevrolet Spark Gt,$27.500.000,2013,160.000,Gris,Gasolina
Chevrolet Spark Gt Spark Gt Ltz Mec 1.4,$32.500.000,2015,113.000,Color not found,Gasolina
Chevrolet Spark Gt Ltz,$32.900.000,2016,112.107,Plateado,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$23.800.000,2013,117.234,Color not found,Gasolina
Chevrolet Spark 1.2 Gt Ls,$37.900.000,2018,84.000,Blanco,Gasolina
Chevrolet Spark 1.0 Life,$21.900.000,2018,75.000,Gris,Gasolina
Chevrolet Spark GT 1.2 Ls,$37.800.000,2019,75.000,Rojo,Gasolina
Chevrolet Spark Gt Ltz,$33.900.000,2017,79.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$31.500.000,2016,93.000,Azul,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$29.500.000,2016,100.000,Plateado,Gasolina
Chevrolet Spark 1.2 Gt Ltz,$34.500.000,2018,80.542,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$33.900.000,2016,85.000,Gris,Gasolina
Chevrolet Spark GT LT 1.2 MT,$40.900.000,2020,42.000,Plateado,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$33.000.000,2016,71.000,Negro,Gasolina
Chevrolet Spark Gt Modelo 2015 2 Dueño Buen Estado 1200cm3.,$28.000.000,2015,134.000,Gris,Gasolina
Chevrolet Spark 1.0 Life,$29.900.000,2018,62.000,Color not found,Gasolina
